item_id,module,band,exposure_count,correct_count,p_value,mean_latency_ms
LS-PRE-01,LS,Pre-A1,18,10,0.56,22000
LS-PRE-02,LS,Pre-A1,25,15,0.60,23300
LS-PRE-03,LS,Pre-A1,32,21,0.66,24600
LS-PRE-04,LS,Pre-A1,39,28,0.72,25900
LS-A1-01,LS,A1,21,17,0.81,27200
LS-A1-02,LS,A1,28,15,0.54,28500
LS-A1-03,LS,A1,35,21,0.60,29800
LS-A1-04,LS,A1,42,28,0.67,31100
LS-A1-05,LS,A1,24,18,0.75,32400
LS-A1-06,LS,A1,31,24,0.77,33700
LS-A1-07,LS,A1,38,21,0.55,35000
LS-A1-08,LS,A1,20,12,0.60,36300
LS-A2-01,LS,A2,27,18,0.67,37600
LS-A2-02,LS,A2,34,25,0.74,38900
LS-A2-03,LS,A2,41,32,0.78,22200
LS-A2-04,LS,A2,23,13,0.57,23500
LS-A2-05,LS,A2,30,18,0.60,24800
LS-A2-06,LS,A2,37,25,0.68,26100
LS-A2-07,LS,A2,19,14,0.74,27400
LS-A2-08,LS,A2,26,21,0.81,28700
LS-B1-01,LS,B1,33,18,0.55,30000
LS-B1-02,LS,B1,40,24,0.60,31300
LS-B1-03,LS,B1,22,15,0.68,32600
LS-B1-04,LS,B1,29,21,0.72,33900
LS-B1-05,LS,B1,36,28,0.78,35200
LS-B1-06,LS,B1,18,10,0.56,36500
LS-B1-07,LS,B1,25,15,0.60,37800
LS-B1-08,LS,B1,32,21,0.66,39100
LS-B2-01,LS,B2,39,28,0.72,22400
LS-B2-02,LS,B2,21,17,0.81,23700
LS-B2-03,LS,B2,28,15,0.54,25000
LS-B2-04,LS,B2,35,21,0.60,26300
LS-B2-05,LS,B2,42,28,0.67,27600
LS-B2-06,LS,B2,24,18,0.75,28900
LS-B2-07,LS,B2,31,24,0.77,30200
LS-B2-08,LS,B2,38,21,0.55,31500
LS-C1-01,LS,C1,20,12,0.60,32800
LS-C1-02,LS,C1,27,18,0.67,34100
LS-C1-03,LS,C1,34,25,0.74,35400
LS-C1-04,LS,C1,41,32,0.78,36700
LS-C1-05,LS,C1,23,13,0.57,38000
LS-C1-06,LS,C1,30,18,0.60,39300
LS-C1-07,LS,C1,37,25,0.68,22600
LS-C1-08,LS,C1,19,14,0.74,23900
LS-C2-01,LS,C2,26,21,0.81,25200
LS-C2-02,LS,C2,33,18,0.55,26500
LS-C2-03,LS,C2,40,24,0.60,27800
LS-C2-04,LS,C2,22,15,0.68,29100
LS-C2-05,LS,C2,29,21,0.72,30400
LS-C2-06,LS,C2,36,28,0.78,31700
LS-C2-07,LS,C2,18,10,0.56,33000
LS-C2-08,LS,C2,25,15,0.60,34300
RD-PRE-01,RD,Pre-A1,14,7,0.50,65000
RD-PRE-02,RD,Pre-A1,19,11,0.58,68200
